Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Income Less than 20K (percent),Income 20K to 35K (percent),Income 35K to 50K (percent),Income 50K to 75K (percent),Income 75K to 100K (percent),Income 100K to 125K (percent),Income 125K to 150K (percent),Income 150K to 200K (percent),Income More than 200K (percent),No High School Diploma (percent),High School Diploma (percent),Some College (percent),Bachelor's Degree (percent),Graduate Degree (percent),White (percent),Black (percent),Indian (percent),Asian (percent),Islander (percent),Other Race (percent),Multiple Races (percent),Hispanic (percent),With Kids (percent),With No Kids (percent),With Kids under 6 years (percent),With Kids between 6-17 years (percent)
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),125,0.221,0.157,0.152,0.183,0.121,0.063,0.040,0.035,0.028,0.127,0.225,0.278,0.243,0.127,0.698,0.135,0.019,0.052,0.001,0.051,0.044,0.105,0.260,0.740,0.140,0.190
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1066,0.242,0.168,0.153,0.178,0.116,0.060,0.034,0.028,0.021,0.148,0.250,0.289,0.212,0.101,0.668,0.151,0.026,0.047,0.000,0.059,0.049,0.119,0.273,0.727,0.148,0.199
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),16,0.318,0.159,0.154,0.143,0.116,0.052,0.025,0.019,0.014,0.180,0.268,0.276,0.195,0.081,0.639,0.126,0.032,0.050,0.000,0.098,0.055,0.162,0.242,0.758,0.139,0.166
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),255,0.254,0.168,0.165,0.173,0.117,0.056,0.029,0.021,0.017,0.163,0.260,0.295,0.202,0.080,0.673,0.132,0.033,0.039,0.001,0.069,0.053,0.140,0.269,0.731,0.145,0.195
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),352,0.239,0.169,0.146,0.181,0.114,0.065,0.034,0.030,0.022,0.144,0.257,0.292,0.209,0.098,0.649,0.173,0.026,0.049,0.001,0.052,0.050,0.106,0.288,0.712,0.155,0.212
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),347,0.235,0.171,0.149,0.180,0.116,0.060,0.036,0.030,0.023,0.144,0.240,0.287,0.215,0.114,0.677,0.151,0.022,0.048,0.000,0.057,0.045,0.113,0.270,0.730,0.146,0.196
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),96,0.230,0.158,0.153,0.182,0.119,0.061,0.040,0.032,0.025,0.127,0.226,0.275,0.244,0.128,0.696,0.132,0.020,0.053,0.001,0.053,0.045,0.112,0.247,0.753,0.138,0.181
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),807,0.234,0.162,0.150,0.180,0.119,0.064,0.035,0.030,0.026,0.137,0.241,0.288,0.226,0.108,0.686,0.137,0.023,0.047,0.000,0.061,0.046,0.119,0.273,0.727,0.145,0.200
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),35,0.239,0.172,0.161,0.164,0.123,0.063,0.028,0.028,0.022,0.128,0.246,0.290,0.231,0.105,0.657,0.141,0.019,0.074,0.000,0.065,0.044,0.121,0.309,0.691,0.171,0.227
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),86,0.267,0.173,0.159,0.171,0.117,0.051,0.026,0.022,0.014,0.163,0.270,0.283,0.198,0.086,0.643,0.164,0.030,0.045,0.000,0.065,0.053,0.134,0.273,0.727,0.148,0.197
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),314,0.228,0.160,0.150,0.186,0.121,0.066,0.035,0.028,0.026,0.138,0.240,0.291,0.226,0.105,0.688,0.136,0.024,0.046,0.000,0.060,0.046,0.118,0.269,0.731,0.143,0.197
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),228,0.239,0.159,0.146,0.181,0.114,0.065,0.038,0.030,0.028,0.127,0.237,0.293,0.230,0.113,0.711,0.113,0.023,0.045,0.000,0.062,0.046,0.118,0.265,0.735,0.143,0.192
Bus - StL Bus Index,Origin,N/A,27053102500,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),144,0.223,0.159,0.149,0.176,0.121,0.064,0.038,0.038,0.032,0.138,0.227,0.280,0.235,0.120,0.670,0.159,0.020,0.048,0.001,0.057,0.045,0.110,0.285,0.715,0.145,0.214
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1632,0.196,0.150,0.151,0.195,0.126,0.073,0.042,0.038,0.029,0.105,0.240,0.282,0.252,0.121,0.722,0.121,0.016,0.063,0.000,0.040,0.038,0.085,0.280,0.720,0.145,0.202
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),43,0.220,0.152,0.180,0.184,0.114,0.065,0.041,0.025,0.019,0.107,0.269,0.294,0.230,0.100,0.632,0.187,0.035,0.059,0.000,0.043,0.044,0.102,0.288,0.712,0.152,0.205
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),235,0.174,0.139,0.167,0.211,0.136,0.073,0.046,0.034,0.020,0.109,0.261,0.290,0.253,0.087,0.737,0.110,0.015,0.054,0.000,0.046,0.038,0.092,0.288,0.712,0.148,0.208
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),552,0.188,0.146,0.144,0.196,0.130,0.078,0.045,0.042,0.031,0.102,0.242,0.289,0.247,0.120,0.735,0.115,0.015,0.062,0.000,0.038,0.035,0.081,0.300,0.700,0.154,0.219
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),528,0.199,0.154,0.149,0.192,0.125,0.071,0.040,0.038,0.032,0.106,0.230,0.278,0.256,0.130,0.716,0.122,0.015,0.068,0.001,0.040,0.038,0.084,0.269,0.731,0.140,0.193
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),274,0.220,0.157,0.150,0.186,0.116,0.067,0.038,0.037,0.029,0.106,0.233,0.270,0.255,0.136,0.711,0.127,0.016,0.064,0.001,0.040,0.041,0.086,0.253,0.747,0.134,0.182
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1593,0.188,0.148,0.150,0.198,0.129,0.075,0.044,0.039,0.029,0.103,0.243,0.285,0.250,0.119,0.728,0.119,0.015,0.062,0.000,0.039,0.037,0.083,0.284,0.716,0.146,0.206
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),32,0.217,0.144,0.179,0.177,0.124,0.068,0.045,0.027,0.019,0.104,0.276,0.302,0.220,0.098,0.617,0.190,0.038,0.061,0.000,0.049,0.045,0.114,0.299,0.701,0.159,0.209
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),275,0.171,0.138,0.165,0.215,0.137,0.073,0.047,0.034,0.020,0.106,0.262,0.292,0.253,0.087,0.745,0.107,0.014,0.053,0.000,0.044,0.037,0.089,0.288,0.712,0.147,0.208
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),519,0.173,0.142,0.142,0.201,0.134,0.084,0.049,0.044,0.031,0.098,0.246,0.298,0.242,0.116,0.742,0.113,0.014,0.061,0.000,0.036,0.034,0.078,0.314,0.686,0.160,0.230
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),535,0.192,0.154,0.148,0.194,0.129,0.072,0.041,0.037,0.033,0.106,0.233,0.278,0.254,0.129,0.716,0.123,0.015,0.067,0.000,0.041,0.038,0.085,0.273,0.727,0.141,0.198
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),232,0.227,0.158,0.148,0.187,0.113,0.064,0.038,0.037,0.028,0.103,0.230,0.267,0.259,0.141,0.713,0.127,0.016,0.066,0.001,0.037,0.040,0.082,0.239,0.761,0.127,0.172
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1559,0.215,0.154,0.153,0.185,0.120,0.068,0.039,0.037,0.029,0.109,0.233,0.276,0.256,0.126,0.712,0.124,0.016,0.065,0.000,0.044,0.039,0.090,0.266,0.734,0.140,0.192
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),64,0.232,0.162,0.172,0.189,0.102,0.058,0.034,0.027,0.024,0.117,0.247,0.276,0.250,0.110,0.667,0.172,0.030,0.055,0.000,0.038,0.038,0.085,0.258,0.742,0.139,0.188
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),126,0.195,0.141,0.184,0.195,0.124,0.064,0.044,0.031,0.022,0.125,0.256,0.273,0.258,0.088,0.711,0.108,0.021,0.051,0.000,0.068,0.041,0.122,0.260,0.740,0.136,0.190
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),584,0.217,0.153,0.146,0.185,0.122,0.067,0.039,0.039,0.032,0.107,0.231,0.277,0.255,0.130,0.720,0.119,0.017,0.064,0.000,0.042,0.038,0.088,0.269,0.731,0.141,0.195
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),493,0.217,0.157,0.153,0.183,0.120,0.068,0.039,0.035,0.028,0.108,0.226,0.278,0.259,0.129,0.711,0.127,0.013,0.070,0.000,0.040,0.039,0.083,0.264,0.736,0.140,0.186
Bus - StL Bus Index,Origin,N/A,27053102600,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),292,0.211,0.152,0.152,0.184,0.119,0.075,0.037,0.039,0.031,0.107,0.234,0.278,0.250,0.131,0.712,0.122,0.015,0.064,0.000,0.046,0.041,0.095,0.268,0.732,0.140,0.196
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),640,0.209,0.160,0.149,0.156,0.151,0.072,0.038,0.031,0.034,0.131,0.252,0.277,0.233,0.107,0.707,0.130,0.014,0.052,0.001,0.052,0.044,0.098,0.261,0.739,0.142,0.187
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),41,0.211,0.168,0.145,0.123,0.179,0.070,0.037,0.024,0.043,0.138,0.260,0.250,0.247,0.105,0.724,0.092,0.014,0.039,0.000,0.083,0.048,0.140,0.215,0.785,0.130,0.151
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),109,0.198,0.160,0.157,0.153,0.165,0.069,0.038,0.028,0.032,0.128,0.259,0.274,0.241,0.098,0.734,0.107,0.015,0.046,0.000,0.054,0.044,0.101,0.243,0.757,0.137,0.170
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),201,0.207,0.160,0.142,0.166,0.143,0.076,0.038,0.035,0.033,0.133,0.250,0.288,0.223,0.106,0.713,0.132,0.011,0.056,0.001,0.045,0.042,0.085,0.283,0.717,0.146,0.206
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),182,0.209,0.156,0.153,0.153,0.151,0.073,0.039,0.031,0.035,0.129,0.255,0.275,0.234,0.107,0.696,0.142,0.014,0.053,0.001,0.050,0.044,0.096,0.265,0.735,0.145,0.190
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),107,0.225,0.161,0.146,0.163,0.137,0.068,0.035,0.032,0.033,0.132,0.237,0.277,0.236,0.118,0.685,0.145,0.015,0.056,0.001,0.052,0.046,0.101,0.254,0.746,0.140,0.183
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),640,0.207,0.160,0.150,0.156,0.154,0.072,0.038,0.031,0.032,0.132,0.255,0.278,0.232,0.103,0.704,0.131,0.014,0.052,0.001,0.053,0.045,0.099,0.265,0.735,0.145,0.190
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),43,0.210,0.170,0.142,0.112,0.194,0.071,0.038,0.021,0.042,0.144,0.260,0.244,0.250,0.102,0.725,0.082,0.015,0.034,0.000,0.093,0.051,0.154,0.206,0.794,0.134,0.142
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),131,0.197,0.163,0.158,0.154,0.166,0.070,0.037,0.026,0.029,0.128,0.261,0.281,0.239,0.091,0.730,0.107,0.015,0.049,0.000,0.055,0.044,0.102,0.252,0.748,0.143,0.176
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),194,0.199,0.161,0.143,0.170,0.145,0.075,0.041,0.036,0.030,0.133,0.249,0.293,0.221,0.104,0.709,0.139,0.011,0.060,0.001,0.039,0.041,0.077,0.292,0.708,0.149,0.213
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),186,0.209,0.155,0.154,0.151,0.155,0.073,0.039,0.031,0.033,0.127,0.260,0.272,0.236,0.105,0.699,0.138,0.014,0.049,0.001,0.053,0.046,0.100,0.263,0.737,0.146,0.188
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),85,0.232,0.162,0.149,0.165,0.131,0.067,0.031,0.033,0.030,0.138,0.247,0.277,0.222,0.116,0.660,0.161,0.018,0.060,0.000,0.052,0.049,0.104,0.264,0.736,0.145,0.194
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),602,0.223,0.159,0.146,0.157,0.142,0.070,0.036,0.029,0.038,0.133,0.244,0.274,0.236,0.113,0.709,0.131,0.012,0.054,0.001,0.050,0.043,0.096,0.257,0.743,0.138,0.185
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),36,0.231,0.159,0.149,0.165,0.123,0.063,0.034,0.036,0.040,0.124,0.257,0.267,0.234,0.118,0.695,0.140,0.011,0.057,0.001,0.054,0.042,0.108,0.255,0.745,0.127,0.184
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),62,0.208,0.159,0.153,0.144,0.165,0.068,0.038,0.025,0.040,0.125,0.250,0.243,0.257,0.125,0.771,0.089,0.014,0.030,0.001,0.052,0.043,0.100,0.201,0.799,0.115,0.138
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),218,0.230,0.158,0.143,0.158,0.138,0.071,0.034,0.031,0.037,0.137,0.249,0.277,0.227,0.110,0.713,0.123,0.011,0.054,0.001,0.053,0.045,0.099,0.264,0.736,0.140,0.191
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),155,0.215,0.153,0.146,0.153,0.144,0.074,0.040,0.032,0.043,0.134,0.243,0.280,0.231,0.112,0.686,0.153,0.014,0.066,0.000,0.040,0.041,0.082,0.283,0.717,0.148,0.207
Bus - StL Bus Index,Origin,N/A,27053103000,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),130,0.226,0.170,0.147,0.164,0.137,0.065,0.036,0.025,0.030,0.130,0.228,0.285,0.246,0.111,0.694,0.142,0.011,0.055,0.001,0.054,0.043,0.103,0.246,0.754,0.138,0.175
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),735,0.250,0.139,0.145,0.201,0.108,0.079,0.033,0.029,0.016,0.121,0.218,0.295,0.260,0.106,0.700,0.147,0.019,0.043,0.000,0.048,0.043,0.097,0.239,0.761,0.125,0.175
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),48,0.252,0.167,0.156,0.185,0.102,0.069,0.029,0.023,0.017,0.128,0.242,0.285,0.240,0.105,0.652,0.178,0.022,0.051,0.001,0.048,0.048,0.104,0.255,0.745,0.136,0.185
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),153,0.266,0.119,0.140,0.216,0.104,0.087,0.030,0.028,0.010,0.116,0.196,0.302,0.286,0.100,0.713,0.135,0.019,0.034,0.000,0.053,0.046,0.103,0.216,0.784,0.112,0.157
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),214,0.251,0.138,0.141,0.199,0.110,0.080,0.033,0.031,0.017,0.122,0.221,0.302,0.255,0.100,0.700,0.148,0.019,0.046,0.000,0.046,0.041,0.098,0.246,0.754,0.128,0.181
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),200,0.234,0.141,0.146,0.202,0.111,0.080,0.035,0.031,0.020,0.119,0.219,0.289,0.259,0.114,0.719,0.135,0.017,0.043,0.000,0.044,0.042,0.090,0.234,0.766,0.120,0.171
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),120,0.246,0.153,0.152,0.189,0.110,0.070,0.035,0.027,0.018,0.126,0.235,0.290,0.240,0.109,0.666,0.172,0.019,0.049,0.000,0.050,0.044,0.098,0.262,0.738,0.140,0.192
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),744,0.250,0.136,0.145,0.202,0.108,0.081,0.033,0.029,0.016,0.119,0.214,0.297,0.264,0.106,0.702,0.149,0.018,0.042,0.000,0.046,0.043,0.095,0.236,0.764,0.123,0.173
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),40,0.262,0.157,0.159,0.190,0.099,0.071,0.028,0.024,0.010,0.121,0.229,0.302,0.249,0.099,0.637,0.195,0.024,0.048,0.000,0.049,0.047,0.106,0.248,0.752,0.132,0.178
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),182,0.269,0.117,0.140,0.215,0.103,0.087,0.031,0.028,0.010,0.117,0.195,0.300,0.287,0.101,0.714,0.136,0.019,0.035,0.000,0.051,0.045,0.100,0.213,0.787,0.109,0.155
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),214,0.251,0.139,0.142,0.197,0.110,0.081,0.033,0.031,0.016,0.121,0.221,0.303,0.254,0.101,0.701,0.149,0.018,0.045,0.000,0.045,0.042,0.098,0.246,0.754,0.129,0.180
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),204,0.231,0.138,0.144,0.205,0.112,0.082,0.035,0.032,0.021,0.114,0.215,0.290,0.265,0.116,0.724,0.136,0.016,0.042,0.000,0.041,0.041,0.086,0.232,0.768,0.119,0.169
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),105,0.247,0.151,0.154,0.187,0.109,0.072,0.034,0.027,0.019,0.128,0.230,0.288,0.243,0.111,0.664,0.181,0.020,0.045,0.000,0.045,0.045,0.091,0.262,0.738,0.140,0.196
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),677,0.246,0.150,0.146,0.196,0.107,0.076,0.033,0.029,0.017,0.125,0.226,0.291,0.252,0.106,0.694,0.147,0.018,0.047,0.000,0.051,0.043,0.100,0.244,0.756,0.127,0.178
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),73,0.240,0.179,0.158,0.176,0.106,0.063,0.028,0.024,0.026,0.139,0.252,0.264,0.229,0.116,0.663,0.163,0.019,0.054,0.001,0.049,0.051,0.107,0.265,0.735,0.142,0.195
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),71,0.262,0.139,0.147,0.210,0.101,0.079,0.026,0.027,0.009,0.125,0.201,0.294,0.283,0.097,0.697,0.146,0.020,0.033,0.000,0.057,0.047,0.111,0.208,0.792,0.113,0.148
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),212,0.253,0.137,0.139,0.199,0.108,0.080,0.034,0.032,0.018,0.121,0.220,0.298,0.260,0.101,0.707,0.143,0.019,0.044,0.000,0.046,0.041,0.093,0.244,0.756,0.123,0.183
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),199,0.234,0.146,0.148,0.201,0.109,0.080,0.035,0.030,0.017,0.122,0.227,0.286,0.253,0.112,0.709,0.134,0.017,0.046,0.000,0.051,0.043,0.099,0.240,0.760,0.123,0.173
Bus - StL Bus Index,Origin,N/A,27053103100,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),122,0.246,0.168,0.148,0.188,0.106,0.069,0.036,0.024,0.015,0.128,0.236,0.301,0.232,0.103,0.661,0.166,0.018,0.057,0.000,0.056,0.042,0.106,0.263,0.737,0.144,0.186
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2296,0.188,0.147,0.139,0.184,0.126,0.077,0.041,0.046,0.052,0.096,0.204,0.270,0.272,0.158,0.754,0.105,0.012,0.058,0.001,0.035,0.035,0.075,0.244,0.756,0.124,0.176
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),153,0.202,0.147,0.133,0.185,0.124,0.074,0.037,0.038,0.060,0.101,0.194,0.255,0.282,0.168,0.722,0.131,0.013,0.057,0.000,0.043,0.034,0.089,0.216,0.784,0.116,0.153
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),325,0.163,0.136,0.146,0.190,0.131,0.081,0.040,0.052,0.061,0.087,0.193,0.273,0.281,0.166,0.780,0.087,0.009,0.063,0.001,0.030,0.030,0.063,0.230,0.770,0.116,0.167
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),704,0.175,0.143,0.140,0.185,0.129,0.082,0.043,0.051,0.052,0.094,0.209,0.277,0.267,0.153,0.763,0.101,0.011,0.056,0.001,0.033,0.035,0.071,0.260,0.740,0.130,0.188
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),686,0.200,0.154,0.135,0.181,0.122,0.075,0.039,0.044,0.050,0.099,0.206,0.265,0.272,0.158,0.745,0.110,0.013,0.058,0.000,0.038,0.036,0.082,0.242,0.758,0.123,0.174
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),427,0.203,0.149,0.139,0.182,0.123,0.072,0.041,0.043,0.048,0.100,0.207,0.268,0.269,0.156,0.749,0.109,0.013,0.058,0.000,0.035,0.036,0.077,0.246,0.754,0.123,0.177
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),2174,0.185,0.146,0.138,0.184,0.128,0.079,0.041,0.047,0.052,0.096,0.205,0.273,0.270,0.156,0.755,0.103,0.012,0.058,0.001,0.036,0.035,0.076,0.248,0.752,0.125,0.180
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),73,0.187,0.131,0.116,0.174,0.137,0.084,0.040,0.044,0.087,0.085,0.165,0.244,0.307,0.199,0.745,0.126,0.010,0.057,0.000,0.032,0.030,0.071,0.186,0.814,0.098,0.131
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),384,0.165,0.133,0.146,0.190,0.133,0.082,0.040,0.051,0.060,0.088,0.197,0.278,0.277,0.160,0.776,0.087,0.009,0.065,0.001,0.032,0.030,0.064,0.238,0.762,0.118,0.176
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),691,0.169,0.139,0.138,0.184,0.134,0.086,0.046,0.052,0.052,0.093,0.211,0.285,0.263,0.148,0.769,0.097,0.011,0.054,0.001,0.033,0.035,0.071,0.274,0.726,0.137,0.201
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),691,0.205,0.157,0.136,0.182,0.120,0.073,0.037,0.042,0.048,0.100,0.207,0.265,0.271,0.157,0.738,0.112,0.013,0.059,0.000,0.041,0.037,0.085,0.240,0.760,0.123,0.173
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),335,0.206,0.152,0.139,0.182,0.122,0.072,0.039,0.042,0.046,0.102,0.205,0.266,0.270,0.157,0.747,0.110,0.013,0.056,0.000,0.036,0.038,0.078,0.237,0.763,0.119,0.171
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2313,0.190,0.151,0.140,0.184,0.122,0.074,0.041,0.045,0.053,0.097,0.204,0.265,0.274,0.160,0.751,0.108,0.012,0.057,0.000,0.037,0.035,0.078,0.241,0.759,0.123,0.173
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),339,0.207,0.157,0.144,0.191,0.119,0.068,0.036,0.034,0.044,0.109,0.207,0.263,0.270,0.151,0.703,0.139,0.014,0.058,0.000,0.049,0.037,0.098,0.236,0.764,0.127,0.168
Bus - StL Bus Index,Origin,N/A,27053103600,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),153,0.161,0.142,0.149,0.193,0.120,0.080,0.037,0.054,0.064,0.091,0.174,0.256,0.298,0.181,0.786,0.091,0.009,0.053,0.001,0.030,0.030,0.066,0.202,0.798,0.108,0.140
