Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Index),Avg Travel Time (sec),Avg All Travel Time (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Travel Time 0-5 min (percent),Travel Time 5-10 min (percent),Travel Time 10-15 min (percent),Travel Time 15-20 min (percent),Travel Time 20-25 min (percent),Travel Time 25-30 min (percent),Travel Time 30-35 min (percent),Travel Time 35-40 min (percent),Travel Time 40-45 min (percent),Travel Time 45-50 min (percent),Travel Time 50-55 min (percent),Travel Time 55-60 min (percent),Travel Time 60+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-3 mi (percent),Trip Length 3-4 mi (percent),Trip Length 4-5 mi (percent),Trip Length 5-6 mi (percent),Trip Length 6-7 mi (percent),Trip Length 7-8 mi (percent),Trip Length 8-9 mi (percent),Trip Length 9-10 mi (percent),Trip Length 10+ mi (percent)
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),560,1396,1396,4.4,4.4,0.061,0.176,0.213,0.144,0.117,0.068,0.050,0.036,0.023,0.025,0.018,0.014,0.055,0.120,0.166,0.160,0.163,0.121,0.066,0.052,0.036,0.021,0.019,0.076
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),679,1681,1681,5.4,5.4,0.043,0.122,0.151,0.131,0.128,0.089,0.087,0.058,0.037,0.028,0.026,0.014,0.086,0.092,0.141,0.133,0.142,0.121,0.078,0.047,0.041,0.051,0.020,0.134
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),202,1331,1331,4.2,4.2,0.089,0.176,0.219,0.191,0.102,0.045,0.045,0.020,0.037,0.012,0.012,0.005,0.047,0.122,0.212,0.154,0.159,0.127,0.060,0.055,0.027,0.015,0.002,0.067
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1441,1314,1314,4.2,4.2,0.063,0.187,0.209,0.150,0.138,0.053,0.049,0.038,0.020,0.015,0.011,0.008,0.059,0.111,0.180,0.158,0.177,0.142,0.065,0.040,0.030,0.012,0.011,0.074
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),61,1097,1097,4.0,4.0,0.088,0.211,0.261,0.246,0.088,0.000,0.000,0.035,0.000,0.018,0.018,0.000,0.035,0.070,0.175,0.175,0.315,0.123,0.053,0.018,0.018,0.000,0.000,0.053
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),125,1723,1723,4.7,4.7,0.108,0.135,0.154,0.081,0.153,0.090,0.054,0.045,0.000,0.009,0.018,0.018,0.135,0.126,0.190,0.144,0.162,0.099,0.036,0.045,0.072,0.018,0.009,0.099
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),471,1305,1305,4.2,4.2,0.054,0.215,0.204,0.173,0.133,0.044,0.030,0.030,0.021,0.012,0.009,0.007,0.068,0.129,0.182,0.141,0.173,0.157,0.059,0.040,0.023,0.007,0.009,0.080
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),487,1314,1314,4.0,4.0,0.059,0.168,0.214,0.129,0.144,0.070,0.057,0.048,0.017,0.020,0.015,0.009,0.050,0.109,0.183,0.163,0.157,0.153,0.070,0.041,0.028,0.020,0.013,0.063
Bus - StL Bus Index,Origin,N/A,27053125600,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),297,1209,1209,4.2,4.2,0.061,0.195,0.214,0.159,0.141,0.036,0.072,0.029,0.036,0.014,0.004,0.007,0.032,0.090,0.173,0.177,0.191,0.123,0.083,0.040,0.029,0.007,0.011,0.076
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3282,1448,1448,4.2,4.2,0.042,0.188,0.179,0.144,0.110,0.080,0.061,0.043,0.033,0.025,0.021,0.015,0.059,0.092,0.275,0.199,0.089,0.071,0.057,0.046,0.033,0.029,0.023,0.086
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),105,1557,1557,5.0,5.0,0.031,0.166,0.154,0.140,0.145,0.083,0.051,0.057,0.028,0.026,0.028,0.014,0.077,0.043,0.248,0.168,0.120,0.077,0.091,0.037,0.031,0.026,0.031,0.128
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),417,1356,1356,3.9,3.9,0.049,0.198,0.179,0.158,0.130,0.061,0.065,0.035,0.025,0.022,0.018,0.014,0.046,0.093,0.247,0.264,0.091,0.066,0.049,0.043,0.026,0.024,0.031,0.066
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1123,1403,1403,4.0,4.0,0.048,0.195,0.188,0.148,0.101,0.081,0.057,0.042,0.030,0.022,0.018,0.013,0.057,0.107,0.285,0.195,0.100,0.070,0.050,0.040,0.030,0.030,0.017,0.076
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1173,1559,1559,4.6,4.6,0.029,0.168,0.166,0.134,0.116,0.090,0.067,0.051,0.040,0.030,0.022,0.018,0.069,0.080,0.263,0.189,0.074,0.077,0.063,0.050,0.040,0.032,0.024,0.108
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),464,1331,1331,3.9,3.9,0.057,0.220,0.196,0.146,0.092,0.068,0.053,0.031,0.027,0.021,0.028,0.011,0.050,0.097,0.311,0.181,0.090,0.065,0.058,0.053,0.027,0.026,0.025,0.067
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3532,1486,1486,4.3,4.3,0.038,0.180,0.176,0.145,0.112,0.080,0.062,0.047,0.033,0.025,0.023,0.015,0.064,0.089,0.265,0.202,0.089,0.072,0.057,0.046,0.032,0.030,0.026,0.092
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),101,1628,1628,5.4,5.4,0.025,0.172,0.146,0.141,0.152,0.056,0.051,0.056,0.020,0.035,0.035,0.015,0.096,0.035,0.243,0.167,0.111,0.081,0.086,0.035,0.025,0.020,0.040,0.157
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),465,1406,1406,4.0,4.0,0.049,0.188,0.174,0.156,0.129,0.061,0.073,0.039,0.026,0.024,0.018,0.014,0.049,0.089,0.247,0.268,0.087,0.072,0.047,0.036,0.024,0.029,0.033,0.068
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1183,1433,1433,4.1,4.1,0.042,0.187,0.185,0.152,0.109,0.080,0.051,0.046,0.031,0.024,0.020,0.013,0.060,0.102,0.277,0.197,0.106,0.069,0.054,0.039,0.029,0.029,0.018,0.080
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1321,1616,1616,4.8,4.8,0.023,0.157,0.162,0.132,0.114,0.095,0.071,0.056,0.041,0.030,0.022,0.020,0.077,0.075,0.256,0.190,0.069,0.078,0.064,0.054,0.040,0.033,0.027,0.114
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),463,1299,1299,3.8,3.8,0.061,0.215,0.201,0.155,0.090,0.061,0.056,0.032,0.024,0.015,0.034,0.010,0.046,0.111,0.295,0.188,0.096,0.065,0.051,0.051,0.023,0.022,0.031,0.067
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2504,1333,1333,4.0,4.0,0.059,0.221,0.181,0.134,0.102,0.080,0.058,0.034,0.032,0.024,0.017,0.011,0.047,0.103,0.290,0.193,0.091,0.065,0.056,0.046,0.037,0.030,0.017,0.072
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),107,1362,1362,4.2,4.2,0.052,0.174,0.124,0.165,0.155,0.113,0.062,0.041,0.021,0.021,0.021,0.010,0.041,0.041,0.257,0.175,0.134,0.052,0.124,0.041,0.041,0.052,0.021,0.062
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),266,1152,1152,3.6,3.6,0.074,0.244,0.181,0.119,0.152,0.070,0.037,0.025,0.033,0.012,0.016,0.012,0.025,0.115,0.243,0.260,0.111,0.045,0.049,0.045,0.033,0.016,0.025,0.058
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),906,1375,1375,4.1,4.1,0.064,0.212,0.186,0.135,0.080,0.080,0.075,0.031,0.034,0.022,0.016,0.013,0.052,0.117,0.288,0.186,0.089,0.071,0.048,0.046,0.030,0.037,0.013,0.075
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),811,1311,1311,4.0,4.0,0.054,0.223,0.180,0.132,0.116,0.076,0.052,0.041,0.030,0.024,0.019,0.011,0.042,0.103,0.300,0.186,0.087,0.059,0.056,0.039,0.050,0.022,0.016,0.082
Bus - StL Bus Index,Origin,N/A,27053125800,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),413,1395,1395,3.9,3.9,0.051,0.233,0.188,0.134,0.080,0.086,0.043,0.029,0.032,0.038,0.016,0.008,0.062,0.080,0.320,0.180,0.075,0.083,0.059,0.062,0.029,0.032,0.021,0.059
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),2173,1451,1451,3.9,3.9,0.059,0.192,0.182,0.131,0.111,0.073,0.058,0.040,0.032,0.023,0.017,0.015,0.067,0.099,0.271,0.205,0.120,0.070,0.053,0.039,0.033,0.023,0.016,0.071
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),71,1483,1483,4.2,4.2,0.060,0.179,0.158,0.132,0.137,0.077,0.047,0.051,0.030,0.026,0.013,0.017,0.073,0.068,0.245,0.222,0.132,0.051,0.068,0.056,0.013,0.051,0.013,0.081
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),286,1571,1571,4.2,4.2,0.047,0.147,0.179,0.153,0.114,0.089,0.063,0.041,0.040,0.022,0.026,0.016,0.063,0.064,0.210,0.243,0.142,0.107,0.052,0.034,0.041,0.030,0.009,0.068
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),728,1418,1418,3.8,3.8,0.059,0.214,0.185,0.128,0.104,0.070,0.057,0.033,0.029,0.022,0.015,0.014,0.070,0.110,0.286,0.206,0.122,0.057,0.051,0.028,0.031,0.023,0.019,0.067
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),733,1487,1487,4.0,4.0,0.048,0.183,0.183,0.127,0.114,0.076,0.061,0.046,0.032,0.028,0.016,0.016,0.070,0.096,0.287,0.188,0.105,0.071,0.058,0.048,0.028,0.023,0.018,0.078
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),354,1342,1342,3.8,3.8,0.087,0.202,0.180,0.129,0.115,0.059,0.055,0.036,0.033,0.018,0.017,0.010,0.059,0.120,0.257,0.205,0.129,0.069,0.045,0.042,0.043,0.013,0.013,0.064
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),2170,1491,1491,4.0,4.0,0.052,0.177,0.196,0.133,0.113,0.073,0.061,0.036,0.031,0.025,0.018,0.015,0.070,0.094,0.259,0.215,0.120,0.070,0.056,0.041,0.036,0.024,0.015,0.070
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),73,1513,1513,4.5,4.5,0.056,0.167,0.168,0.140,0.147,0.049,0.056,0.070,0.021,0.021,0.014,0.021,0.070,0.056,0.265,0.203,0.112,0.042,0.084,0.056,0.007,0.070,0.014,0.091
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),336,1659,1659,4.4,4.4,0.036,0.151,0.177,0.148,0.127,0.091,0.051,0.039,0.039,0.026,0.024,0.017,0.074,0.056,0.192,0.252,0.144,0.104,0.050,0.044,0.038,0.033,0.011,0.076
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),703,1459,1459,3.8,3.8,0.047,0.200,0.206,0.131,0.109,0.065,0.060,0.028,0.027,0.023,0.017,0.017,0.070,0.099,0.271,0.227,0.124,0.064,0.049,0.030,0.031,0.023,0.019,0.063
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),729,1498,1498,4.0,4.0,0.047,0.161,0.197,0.129,0.110,0.082,0.070,0.044,0.029,0.029,0.016,0.015,0.071,0.099,0.280,0.195,0.097,0.064,0.065,0.052,0.037,0.021,0.016,0.074
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),330,1369,1369,3.8,3.8,0.087,0.194,0.188,0.131,0.109,0.058,0.056,0.026,0.037,0.020,0.022,0.008,0.064,0.118,0.255,0.198,0.139,0.065,0.050,0.033,0.050,0.016,0.009,0.067
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1997,1335,1335,3.7,3.7,0.079,0.233,0.154,0.125,0.111,0.070,0.050,0.044,0.028,0.021,0.013,0.012,0.060,0.116,0.285,0.197,0.130,0.065,0.043,0.036,0.022,0.020,0.023,0.063
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),69,1296,1296,3.6,3.6,0.066,0.247,0.180,0.098,0.098,0.098,0.033,0.016,0.033,0.033,0.016,0.016,0.066,0.098,0.230,0.230,0.164,0.082,0.049,0.033,0.033,0.016,0.016,0.049
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),157,1340,1340,3.6,3.6,0.098,0.133,0.147,0.174,0.098,0.070,0.112,0.035,0.035,0.021,0.035,0.021,0.021,0.077,0.272,0.196,0.154,0.098,0.042,0.021,0.056,0.035,0.007,0.042
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),746,1289,1289,3.5,3.5,0.087,0.253,0.149,0.117,0.098,0.084,0.041,0.041,0.025,0.024,0.010,0.009,0.062,0.141,0.304,0.180,0.126,0.041,0.050,0.025,0.025,0.025,0.025,0.058
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),662,1394,1394,4.0,4.0,0.063,0.242,0.153,0.121,0.126,0.060,0.048,0.047,0.030,0.022,0.008,0.015,0.065,0.095,0.294,0.195,0.131,0.072,0.040,0.037,0.010,0.018,0.025,0.083
Bus - StL Bus Index,Origin,N/A,27053125900,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),364,1326,1326,3.7,3.7,0.083,0.229,0.164,0.130,0.117,0.056,0.046,0.052,0.025,0.012,0.015,0.009,0.062,0.123,0.257,0.228,0.117,0.083,0.031,0.065,0.022,0.006,0.022,0.046
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),3415,1450,1450,4.3,4.3,0.072,0.197,0.166,0.125,0.107,0.076,0.055,0.042,0.031,0.024,0.020,0.016,0.069,0.101,0.281,0.181,0.085,0.069,0.054,0.046,0.039,0.027,0.022,0.095
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),112,1549,1549,4.9,4.9,0.073,0.209,0.125,0.136,0.125,0.062,0.046,0.051,0.027,0.035,0.016,0.008,0.087,0.079,0.260,0.184,0.089,0.068,0.049,0.049,0.035,0.016,0.035,0.136
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),484,1449,1449,3.9,3.9,0.077,0.196,0.175,0.133,0.107,0.076,0.049,0.038,0.029,0.017,0.016,0.011,0.076,0.113,0.297,0.213,0.087,0.062,0.048,0.038,0.030,0.021,0.020,0.071
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),1148,1404,1404,4.0,4.0,0.080,0.208,0.172,0.130,0.100,0.069,0.053,0.035,0.031,0.022,0.018,0.017,0.065,0.115,0.296,0.182,0.083,0.065,0.054,0.044,0.037,0.028,0.018,0.078
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),1196,1572,1572,4.8,4.8,0.052,0.171,0.149,0.120,0.118,0.088,0.065,0.052,0.037,0.030,0.025,0.018,0.075,0.081,0.258,0.160,0.089,0.073,0.061,0.052,0.049,0.032,0.021,0.124
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),475,1228,1228,3.9,3.9,0.098,0.233,0.194,0.118,0.094,0.070,0.042,0.034,0.017,0.019,0.015,0.014,0.052,0.114,0.287,0.199,0.079,0.076,0.045,0.040,0.031,0.024,0.029,0.076
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),3649,1502,1502,4.5,4.5,0.060,0.192,0.165,0.125,0.111,0.077,0.054,0.045,0.033,0.026,0.021,0.018,0.073,0.091,0.276,0.181,0.086,0.067,0.056,0.050,0.039,0.029,0.022,0.103
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),91,1726,1726,5.5,5.5,0.045,0.181,0.142,0.108,0.131,0.063,0.057,0.063,0.023,0.051,0.017,0.011,0.108,0.051,0.262,0.188,0.068,0.074,0.051,0.045,0.034,0.011,0.051,0.165
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),555,1511,1511,4.0,4.0,0.064,0.194,0.167,0.138,0.113,0.076,0.048,0.039,0.031,0.018,0.018,0.011,0.083,0.101,0.292,0.218,0.087,0.064,0.050,0.040,0.029,0.021,0.019,0.079
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),1197,1415,1415,4.1,4.1,0.070,0.212,0.171,0.133,0.104,0.071,0.045,0.039,0.030,0.023,0.019,0.020,0.063,0.104,0.290,0.188,0.092,0.061,0.058,0.047,0.032,0.029,0.017,0.082
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),1363,1636,1636,5.0,5.0,0.044,0.159,0.151,0.116,0.121,0.087,0.069,0.054,0.041,0.032,0.026,0.021,0.079,0.073,0.253,0.152,0.087,0.070,0.061,0.057,0.053,0.036,0.022,0.136
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),443,1267,1267,4.0,4.0,0.083,0.242,0.193,0.118,0.094,0.068,0.037,0.036,0.020,0.017,0.017,0.016,0.059,0.105,0.280,0.206,0.074,0.076,0.044,0.049,0.031,0.021,0.036,0.078
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),2502,1307,1307,3.8,3.8,0.113,0.211,0.167,0.117,0.099,0.069,0.052,0.037,0.028,0.021,0.016,0.011,0.059,0.132,0.287,0.190,0.074,0.073,0.050,0.034,0.042,0.023,0.024,0.071
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),156,1251,1251,4.1,4.1,0.106,0.248,0.092,0.149,0.135,0.050,0.050,0.057,0.028,0.028,0.014,0.000,0.043,0.113,0.242,0.177,0.099,0.071,0.064,0.064,0.043,0.028,0.014,0.085
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),290,1407,1407,3.6,3.6,0.129,0.209,0.160,0.110,0.103,0.061,0.046,0.042,0.034,0.011,0.015,0.015,0.065,0.156,0.285,0.213,0.072,0.053,0.042,0.038,0.038,0.015,0.023,0.065
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,2: Weekend Day (Sa-Su),3: Mid-Day (10am-3pm),891,1281,1281,3.6,3.6,0.130,0.206,0.179,0.110,0.079,0.063,0.068,0.030,0.028,0.017,0.015,0.012,0.063,0.151,0.306,0.177,0.056,0.066,0.043,0.035,0.051,0.025,0.026,0.064
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,2: Weekend Day (Sa-Su),4: Peak PM (3pm-7pm),742,1357,1357,4.0,4.0,0.080,0.219,0.149,0.131,0.118,0.077,0.046,0.040,0.028,0.028,0.016,0.010,0.058,0.101,0.272,0.197,0.088,0.089,0.064,0.034,0.036,0.019,0.024,0.076
Bus - StL Bus Index,Origin,N/A,27053126000,no,N/A,no,2: Weekend Day (Sa-Su),5: Late PM (7pm-12am),423,1227,1227,3.9,3.9,0.125,0.205,0.210,0.101,0.091,0.077,0.032,0.037,0.024,0.021,0.016,0.008,0.053,0.136,0.291,0.195,0.077,0.072,0.043,0.016,0.037,0.029,0.027,0.077
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),1645,1500,1500,4.8,4.8,0.047,0.202,0.176,0.133,0.104,0.078,0.060,0.039,0.035,0.023,0.020,0.016,0.067,0.167,0.197,0.173,0.090,0.077,0.055,0.033,0.036,0.032,0.020,0.120
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,0: All Days (M-Su),1: Early AM (12am-6am),81,1548,1548,5.1,5.1,0.049,0.191,0.165,0.154,0.097,0.060,0.056,0.030,0.030,0.011,0.026,0.037,0.094,0.097,0.193,0.176,0.079,0.157,0.075,0.007,0.011,0.022,0.011,0.172
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,0: All Days (M-Su),2: Peak AM (6am-10am),253,1405,1405,4.3,4.3,0.072,0.244,0.202,0.116,0.087,0.074,0.052,0.027,0.023,0.014,0.007,0.011,0.071,0.236,0.223,0.194,0.070,0.032,0.046,0.027,0.021,0.033,0.019,0.099
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,0: All Days (M-Su),3: Mid-Day (10am-3pm),459,1331,1331,4.0,4.0,0.051,0.248,0.182,0.126,0.098,0.069,0.052,0.037,0.030,0.024,0.020,0.014,0.049,0.190,0.222,0.172,0.100,0.060,0.052,0.035,0.035,0.030,0.016,0.088
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,0: All Days (M-Su),4: Peak PM (3pm-7pm),623,1712,1712,5.6,5.6,0.029,0.149,0.154,0.135,0.113,0.093,0.074,0.049,0.046,0.031,0.027,0.018,0.082,0.131,0.166,0.167,0.083,0.087,0.057,0.038,0.051,0.039,0.025,0.156
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,0: All Days (M-Su),5: Late PM (7pm-12am),229,1345,1345,4.5,4.5,0.059,0.212,0.201,0.153,0.112,0.065,0.046,0.032,0.028,0.015,0.013,0.015,0.049,0.168,0.214,0.165,0.111,0.108,0.061,0.032,0.018,0.016,0.015,0.092
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),1796,1573,1573,5.0,5.0,0.041,0.188,0.169,0.129,0.107,0.082,0.067,0.041,0.036,0.025,0.023,0.018,0.074,0.158,0.186,0.166,0.087,0.085,0.058,0.034,0.043,0.034,0.020,0.129
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,1: Weekday (M-Th),1: Early AM (12am-6am),60,1868,1868,6.1,6.1,0.043,0.147,0.155,0.182,0.086,0.043,0.034,0.026,0.017,0.000,0.043,0.069,0.155,0.086,0.138,0.172,0.052,0.172,0.086,0.009,0.009,0.017,0.009,0.250
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,1: Weekday (M-Th),2: Peak AM (6am-10am),276,1353,1353,4.3,4.3,0.079,0.240,0.194,0.118,0.087,0.074,0.052,0.033,0.022,0.015,0.009,0.009,0.068,0.257,0.216,0.164,0.076,0.035,0.037,0.028,0.031,0.042,0.020,0.094
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,1: Weekday (M-Th),3: Mid-Day (10am-3pm),486,1353,1353,3.9,3.9,0.041,0.249,0.189,0.127,0.096,0.069,0.055,0.032,0.032,0.025,0.019,0.016,0.050,0.187,0.222,0.176,0.104,0.060,0.054,0.035,0.040,0.029,0.014,0.079
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,1: Weekday (M-Th),4: Peak PM (3pm-7pm),751,1833,1833,6.1,6.1,0.024,0.129,0.136,0.126,0.119,0.100,0.086,0.053,0.047,0.035,0.033,0.022,0.090,0.113,0.147,0.159,0.080,0.096,0.062,0.040,0.059,0.042,0.026,0.176
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,1: Weekday (M-Th),5: Late PM (7pm-12am),223,1364,1364,4.7,4.7,0.051,0.219,0.207,0.141,0.120,0.067,0.055,0.032,0.030,0.007,0.007,0.009,0.055,0.143,0.217,0.171,0.099,0.136,0.069,0.023,0.023,0.009,0.016,0.094
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),1120,1220,1220,3.7,3.7,0.069,0.241,0.185,0.155,0.098,0.056,0.049,0.034,0.030,0.017,0.013,0.012,0.041,0.189,0.228,0.194,0.099,0.069,0.055,0.030,0.020,0.021,0.018,0.077
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,2: Weekend Day (Sa-Su),1: Early AM (12am-6am),125,1332,1332,4.5,4.5,0.054,0.262,0.117,0.108,0.126,0.072,0.081,0.027,0.054,0.027,0.018,0.018,0.036,0.117,0.262,0.153,0.081,0.144,0.054,0.000,0.018,0.036,0.018,0.117
Bus - StL Bus Index,Origin,N/A,27053126101,no,N/A,no,2: Weekend Day (Sa-Su),2: Peak AM (6am-10am),155,1188,1188,3.5,3.5,0.065,0.280,0.223,0.115,0.094,0.065,0.036,0.029,0.022,0.014,0.007,0.007,0.043,0.187,0.259,0.252,0.036,0.029,0.086,0.022,0.007,0.014,0.036,0.072
